,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
1248,1,Hyper equipped,2,1,1,255,Not specified,53,Gas,Yes,1350.0,50,No,Apartment ,80,Unknown,As new,Unknown,1400.0
1249,0,Installed,4,2,2,259,E,52,Gas,Yes,2250.0,0,No,Others,180,No,Good,No,2250.0
1251,1,Hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,40,No,Apartment ,75,Unknown,As new,No,1140.0
1252,1,USA hyper equipped,2,1,1,159,Not specified,42,Gas,Yes,1500.0,80,No,Apartment ,90,Unknown,As new,No,1580.0
1253,2,Hyper equipped,2,1,1,102,C,18,Gas,No,1220.0,220,No,Apartment ,95,No,As new,Unknown,1440.0
1254,1,Hyper equipped,1,1,1,128,C,27,Gas,No,1500.0,100,No,Apartment ,70,Yes,As new,Unknown,1600.0
1255,5,Hyper equipped,2,2,2,255,Not specified,53,Gas,No,1350.0,100,No,Duplex ,107,Yes,As new,Unknown,1450.0
1256,4,Hyper equipped,2,1,1,178,D,51,Gas,Yes,1450.0,200,No,Apartment ,110,Unknown,As new,Yes,1650.0
1257,0,Hyper equipped,1,1,1,308,Not specified,48,Gas,No,1395.0,150,No,Apartment ,120,No,As new,Unknown,1545.0
1259,6,Installed,2,2,1,86,B,17,Gas,Yes,1550.0,100,No,Apartment ,80,Yes,As new,Yes,1650.0
1260,5,Installed,2,2,2,255,Not specified,64,Gas,Yes,1350.0,100,No,Duplex ,100,Yes,As new,Yes,1450.0
1262,2,USA installed,2,2,1,217,Not specified,46,Gas,Yes,1200.0,100,No,Apartment ,100,Yes,Good,Yes,1300.0
1263,2,Hyper equipped,2,2,2,172,D,37,Gas,Yes,1850.0,1,No,Duplex ,120,No,Good,No,1851.0
1264,0,USA hyper equipped,3,2,3,190,D,39,Gas,Yes,2400.0,350,No,Others,160,No,As new,Yes,2750.0
1265,5,Installed,2,1,1,146,C,35,Gas,Yes,900.0,150,No,Apartment ,101,No,Good,Yes,1050.0
1267,2,Others,1,1,1,236,E,47,Gas,Yes,790.0,90,No,Apartment ,35,No,As new,Yes,880.0
1268,1,Hyper equipped,2,1,2,140,C,30,Gas,Yes,1600.0,180,No,Apartment ,130,No,As new,Yes,1780.0
1269,1,Hyper equipped,1,1,1,132,C,28,Gas,Yes,1100.0,200,No,Others,119,No,As new,Yes,1300.0
1270,0,USA installed,1,1,1,173,Not specified,41,Gas,Yes,1900.0,100,No,Others,160,No,As new,Yes,2000.0
1271,1,Hyper equipped,2,1,2,213,E,45,Gas,Yes,2000.0,85,No,Apartment ,169,No,As new,No,2085.0
1272,1,Hyper equipped,3,2,2,310,F,49,Gas,Yes,1850.0,350,No,Apartment ,125,No,As new,Yes,2200.0
1275,0,Hyper equipped,2,1,2,186,D,37,Gas,Yes,1650.0,0,No,Apartment ,180,No,Good,No,1650.0
1276,0,Hyper equipped,2,1,2,186,D,37,Gas,Yes,1650.0,0,No,Others,180,No,Good,No,1650.0
1277,5,Hyper equipped,2,1,1,293,F,23,Gas,Yes,900.0,300,No,Apartment ,77,Unknown,As new,Yes,1200.0
1278,0,Installed,2,1,1,203,Not specified,39,Gas,Yes,1000.0,200,No,Others,75,Unknown,As new,Yes,1200.0
1279,0,USA installed,1,1,1,86,Not specified,16,Gas,Yes,1045.0,55,No,Apartment ,72,Unknown,As new,No,1100.0
1281,3,Hyper equipped,1,1,1,255,E,54,Gas,Yes,850.0,50,No,Apartment ,65,No,As new,Unknown,900.0
1282,5,Hyper equipped,1,1,1,39,Others,39,Gas,Yes,850.0,100,No,Others,40,No,As new,Yes,950.0
1283,5,Hyper equipped,2,1,1,184,D,39,Others,Yes,1270.0,150,No,Apartment ,100,Yes,As new,Yes,1420.0
1284,1,Installed,1,1,1,390,Not specified,32,Others,Yes,820.0,100,No,Apartment ,80,No,As new,Yes,920.0
1285,0,Hyper equipped,2,1,1,195,D,56,Gas,Yes,1225.0,150,No,Apartment ,85,No,As new,Yes,1375.0
1287,5,Others,2,1,1,206,Not specified,50,Gas,No,1050.0,200,No,Duplex ,121,No,As new,Unknown,1250.0
1288,6,Hyper equipped,2,1,1,162,D,41,Others,Yes,980.0,200,No,Apartment ,73,No,Good,Yes,1180.0
1289,6,Hyper equipped,3,2,2,227,Not specified,57,Gas,Yes,2300.0,150,No,Apartment ,108,No,As new,Yes,2450.0
1290,1,Installed,2,1,1,246,Not specified,52,Gas,Yes,1480.0,35,No,Others,97,Unknown,As new,No,1515.0
1291,2,Installed,2,1,1,231,E,49,Gas,Yes,1075.0,250,No,Apartment ,95,No,As new,No,1325.0
1292,2,USA hyper equipped,2,2,3,171,D,34,Gas,Yes,2450.0,150,No,Apartment ,123,No,As new,Yes,2600.0
1293,0,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200.0,0,No,Apartment ,95,Unknown,As new,Yes,1200.0
1294,4,USA hyper equipped,2,2,3,255,E,51,Gas,Yes,2580.0,150,No,Apartment ,122,No,As new,Yes,2730.0
1295,3,USA hyper equipped,2,2,3,186,D,37,Gas,Yes,2470.0,150,No,Apartment ,123,No,As new,Yes,2620.0
1297,1,Installed,1,1,1,175,D,37,Gas,Yes,790.0,96,No,Apartment ,55,No,As new,Unknown,886.0
1299,1,Hyper equipped,2,1,2,188,D,40,Gas,Yes,1340.0,150,No,Apartment ,75,Yes,Good,Unknown,1490.0
1300,2,Installed,2,1,1,123,C,26,Gas,No,1250.0,150,No,Apartment ,126,Unknown,As new,Yes,1400.0
