,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
1,3,Installed,2,1,1,234,Not specified,49,Gas,No,1150.0,200,No,Apartment ,90,No,As new,Unknown,1350.0
2,3,USA hyper equipped,2,1,1,242,E,52,Gas,Yes,1200.0,80,No,Apartment ,90,Unknown,Good,No,1280.0
4,4,Hyper equipped,1,1,1,412,Not specified,76,Gas,No,960.0,80,No,Apartment ,70,Yes,As new,Yes,1040.0
6,2,Hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050.0,150,No,Apartment ,50,Yes,Just renovated,No,1200.0
7,3,Hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,200,No,Apartment ,60,Yes,Just renovated,No,1450.0
9,0,Installed,1,1,1,86,B,17,Gas,Yes,900.0,130,No,Apartment ,60,No,As new,Yes,1030.0
11,1,Installed,2,1,1,252,Not specified,54,Gas,Yes,625.0,105,No,Others,40,No,As new,Yes,730.0
14,6,Hyper equipped,1,1,1,407,Others,87,Gas,Yes,1250.0,0,No,Apartment ,90,No,As new,Yes,1250.0
15,1,Others,1,1,1,407,Others,87,Gas,Yes,980.0,0,No,Apartment ,70,No,As new,Unknown,980.0
17,3,Installed,1,1,1,245,Not specified,53,Gas,Yes,950.0,0,No,Others,45,Yes,Just renovated,No,950.0
18,3,Hyper equipped,2,1,1,227,Not specified,55,Gas,Yes,1950.0,0,No,Others,110,Yes,Just renovated,No,1950.0
19,2,Installed,1,1,1,277,Not specified,61,Gas,Yes,750.0,0,No,Apartment ,54,Unknown,As new,No,750.0
20,2,Installed,2,1,2,247,Not specified,63,Gas,No,1250.0,300,No,Duplex ,120,Yes,Good,No,1550.0
22,4,Installed,1,1,1,165,D,35,Gas,Yes,1200.0,50,No,Others,52,No,As new,Yes,1250.0
23,0,Installed,1,1,1,214,Not specified,49,Gas,No,1400.0,0,No,Others,80,Yes,As new,Unknown,1400.0
24,2,Installed,1,1,1,411,Not specified,92,Gas,No,975.0,65,No,Apartment ,67,Unknown,Just renovated,No,1040.0
26,0,Hyper equipped,3,1,2,197,D,53,Gas,Yes,2400.0,250,No,Apartment ,140,Yes,As new,Yes,2650.0
27,1,USA hyper equipped,2,1,1,101,C,19,Gas,Yes,1400.0,250,No,Apartment ,80,Yes,As new,Yes,1650.0
28,3,Others,2,1,1,251,C,50,Gas,Yes,900.0,20,No,Apartment ,80,No,Good,No,920.0
29,0,Installed,3,1,1,404,E,61,Others,Yes,750.0,0,No,Others,109,Unknown,As new,Unknown,750.0
30,2,Hyper equipped,2,2,1,117,B,66,Gas,No,720.0,75,No,Apartment ,118,No,As new,Yes,795.0
31,2,Hyper equipped,2,1,1,154,B,85,Gas,No,700.0,0,No,Apartment ,95,Unknown,As new,Yes,700.0
32,3,Hyper equipped,2,1,1,112,B,51,Gas,Yes,515.0,0,No,Others,45,Unknown,As new,Yes,515.0
33,2,Installed,1,1,1,149,C,72,Gas,Yes,740.0,75,No,Apartment ,45,Yes,Good,Yes,815.0
34,2,Hyper equipped,2,1,1,203,Not specified,43,Gas,Yes,1000.0,30,No,Apartment ,70,No,As new,No,1030.0
35,1,Hyper equipped,1,1,1,224,E,44,Others,Yes,700.0,45,No,Others,32,No,Just renovated,No,745.0
36,4,USA hyper equipped,1,1,1,227,E,53,Gas,Yes,950.0,200,No,Others,65,Unknown,Good,Yes,1150.0
37,2,Installed,2,1,1,208,D,44,Gas,No,1195.0,0,No,Apartment ,100,No,As new,Unknown,1195.0
38,3,Installed,1,1,1,252,Not specified,54,Gas,No,625.0,35,No,Apartment ,45,No,As new,Unknown,660.0
42,0,Installed,1,1,1,277,Not specified,61,Gas,Yes,750.0,130,No,Apartment ,68,No,As new,Yes,880.0
43,1,Installed,2,1,1,114,Not specified,41,Gas,No,1280.0,150,No,Apartment ,70,No,As new,Unknown,1430.0
45,2,Hyper equipped,2,1,1,336,F,92,Gas,Yes,975.0,0,No,Apartment ,75,Unknown,As new,Unknown,975.0
46,3,Others,2,1,2,263,Not specified,50,Gas,Yes,900.0,70,No,Duplex ,80,Unknown,As new,No,970.0
47,1,Hyper equipped,2,1,1,126,C,25,Gas,Yes,1490.0,50,No,Duplex ,115,No,As new,Unknown,1540.0
48,4,Hyper equipped,1,1,1,47,B,18,Gas,Yes,850.0,85,No,Apartment ,71,No,Good,Yes,935.0
50,4,Hyper equipped,2,1,1,250,Not specified,39,Gas,Yes,570.0,0,No,Duplex ,65,Unknown,As new,Unknown,570.0
52,1,Hyper equipped,1,1,1,281,Not specified,61,Gas,Yes,990.0,0,No,Apartment ,66,No,As new,Yes,990.0
53,2,Installed,1,1,1,197,Not specified,44,Gas,No,790.0,100,No,Apartment ,63,No,Good,No,890.0
54,2,Hyper equipped,2,1,1,79,B,52,Gas,Yes,1600.0,250,No,Apartment ,97,Yes,As new,Yes,1850.0
55,1,Installed,1,1,2,83,B,63,Gas,Yes,1250.0,130,No,Apartment ,64,Yes,Good,Yes,1380.0
56,3,Hyper equipped,2,1,1,240,E,30,Gas,Yes,835.0,0,No,Apartment ,80,Yes,As new,Yes,835.0
57,3,Hyper equipped,1,1,1,291,F,72,Gas,Yes,825.0,100,No,Others,60,No,As new,Unknown,925.0
58,1,USA hyper equipped,2,1,2,159,Not specified,42,Gas,Yes,1500.0,40,No,Duplex ,90,Unknown,Just renovated,No,1540.0
59,1,Hyper equipped,1,1,1,272,Not specified,58,Gas,No,850.0,142,No,Apartment ,70,Unknown,As new,No,992.0
60,1,Hyper equipped,2,2,2,138,C,27,Gas,Yes,2200.0,25,No,Duplex ,150,No,Just renovated,Unknown,2225.0
61,2,Installed,1,1,1,272,Not specified,58,Gas,Yes,850.0,20,No,Apartment ,80,Unknown,As new,No,870.0
62,0,Installed,2,1,1,233,Not specified,58,Gas,Yes,1100.0,150,No,Apartment ,89,No,Good,No,1250.0
63,1,Hyper equipped,1,1,1,200,Not specified,30,Gas,Yes,835.0,100,No,Others,36,Yes,As new,No,935.0
64,0,Hyper equipped,1,1,1,208,D,40,Gas,Yes,790.0,40,No,Apartment ,59,Unknown,As new,Unknown,830.0
65,5,USA hyper equipped,3,2,2,179,D,38,Gas,Yes,1950.0,300,No,Duplex ,76,Yes,As new,Yes,2250.0
66,2,Hyper equipped,2,1,1,255,Not specified,53,Others,Yes,1350.0,385,No,Apartment ,100,Unknown,As new,Yes,1735.0
67,0,Installed,2,1,2,221,Not specified,48,Gas,Yes,2200.0,225,No,Apartment ,110,No,As new,Yes,2425.0
68,4,Installed,2,1,1,201,D,39,Gas,Yes,1000.0,35,No,Apartment ,60,No,Just renovated,No,1035.0
69,3,Others,2,1,1,214,Not specified,49,Gas,Yes,1400.0,275,No,Apartment ,155,No,As new,Yes,1675.0
70,1,Installed,2,1,2,214,Not specified,49,Gas,Yes,1400.0,90,No,Apartment ,120,No,Just renovated,Unknown,1490.0
71,0,USA hyper equipped,2,2,2,167,D,33,Gas,Yes,2350.0,160,No,Others,140,No,As new,Yes,2510.0
72,2,Others,3,2,2,90,B,15,Gas,Yes,1350.0,200,No,Apartment ,127,No,As new,Yes,1550.0
73,0,Hyper equipped,3,1,1,205,Not specified,47,Gas,No,1850.0,0,No,Others,145,Unknown,As new,Unknown,1850.0
74,2,Hyper equipped,2,1,1,133,C,29,Gas,Yes,1190.0,90,No,Apartment ,95,No,As new,Yes,1280.0
75,3,Installed,2,1,1,189,D,38,Gas,Yes,1200.0,185,No,Apartment ,95,No,As new,Unknown,1385.0
76,1,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,1,No,Duplex ,100,No,As new,No,1251.0
77,0,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,1,No,Others,100,No,As new,No,1251.0
78,3,Installed,4,2,2,204,D,40,Others,Yes,2050.0,125,No,Apartment ,162,No,Good,Yes,2175.0
79,3,Installed,1,1,1,411,Not specified,65,Gas,No,690.0,0,No,Apartment ,60,Unknown,As new,No,690.0
80,1,USA installed,1,1,1,272,Not specified,58,Gas,Yes,850.0,10,No,Apartment ,65,Unknown,As new,No,860.0
81,1,Installed,2,1,2,148,C,29,Gas,Yes,1300.0,200,No,Apartment ,110,Unknown,As new,Yes,1500.0
82,2,Hyper equipped,2,1,1,59,B,10,Gas,Yes,1600.0,160,No,Apartment ,124,No,As new,Yes,1760.0
83,3,Others,2,1,1,62,B,13,Gas,Yes,1500.0,125,No,Apartment ,97,No,As new,Yes,1625.0
86,2,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,50,No,Apartment ,55,Unknown,As new,Yes,950.0
87,1,Hyper equipped,2,1,1,203,Not specified,39,Gas,No,1000.0,150,No,Apartment ,80,Unknown,As new,Unknown,1150.0
88,3,Hyper equipped,1,1,1,411,Not specified,92,Gas,Yes,975.0,75,No,Apartment ,65,Yes,As new,No,1050.0
89,3,Installed,1,1,1,321,F,69,Gas,No,800.0,50,No,Others,29,Yes,Just renovated,Yes,850.0
90,0,Installed,1,1,1,297,Not specified,57,Gas,Yes,760.0,0,No,Apartment ,60,Unknown,As new,No,760.0
91,5,Installed,1,1,1,203,Not specified,39,Gas,Yes,1000.0,200,No,Apartment ,63,Unknown,As new,Yes,1200.0
92,5,USA hyper equipped,1,1,1,108,C,27,Gas,No,900.0,150,No,Apartment ,60,Unknown,Just renovated,Yes,1050.0
93,4,USA hyper equipped,1,1,1,365,Not specified,17,Gas,Yes,800.0,125,No,Apartment ,58,No,As new,Yes,925.0
95,3,Hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950.0,35,No,Apartment ,83,Unknown,Others,No,985.0
96,1,Hyper equipped,1,1,1,155,D,32,Gas,Yes,1200.0,15,No,Apartment ,80,Unknown,As new,No,1215.0
99,4,Hyper equipped,2,1,1,159,Not specified,42,Others,Yes,1500.0,250,No,Apartment ,85,Unknown,Good,Yes,1750.0
101,2,Hyper equipped,3,1,2,204,Not specified,44,Gas,Yes,1650.0,170,No,Apartment ,130,No,As new,Yes,1820.0
102,2,Hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950.0,200,No,Apartment ,55,Yes,As new,No,1150.0
103,2,Hyper equipped,3,2,2,163,D,32,Gas,Yes,1500.0,150,No,Apartment ,110,No,As new,Yes,1650.0
104,2,Hyper equipped,2,1,1,154,Not specified,36,Gas,No,970.0,0,No,Apartment ,90,Unknown,As new,Unknown,970.0
105,2,Others,1,1,1,411,Not specified,65,Gas,Yes,690.0,100,No,Others,50,Yes,Good,Yes,790.0
106,1,USA hyper equipped,1,1,1,157,D,34,Gas,Yes,1190.0,150,No,Apartment ,120,No,As new,No,1340.0
107,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,80,No,Others,90,Unknown,As new,Unknown,1180.0
108,0,Hyper equipped,2,1,1,127,C,25,Gas,No,1180.0,0,No,Apartment ,101,No,As new,Yes,1180.0
109,2,Hyper equipped,2,1,2,193,Not specified,27,Gas,No,1390.0,0,No,Duplex ,90,Unknown,As new,No,1390.0
110,0,Installed,2,1,2,287,F,44,Gas,Yes,1650.0,250,No,Others,136,Unknown,As new,Yes,1900.0
111,1,Hyper equipped,1,1,1,247,Not specified,63,Gas,Yes,1250.0,105,No,Apartment ,70,Yes,As new,No,1355.0
112,1,Hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,105,No,Apartment ,70,No,As new,No,1205.0
114,2,Hyper equipped,2,1,1,224,E,44,Gas,Yes,1250.0,260,No,Apartment ,116,No,As new,Yes,1510.0
115,0,Hyper equipped,1,1,1,411,Not specified,92,Gas,No,975.0,25,No,Apartment ,70,Unknown,As new,No,1000.0
116,2,Hyper equipped,3,2,2,163,D,32,Gas,Yes,1500.0,150,No,Apartment ,110,No,As new,Yes,1650.0
117,2,Installed,1,1,1,156,D,31,Gas,Yes,950.0,50,No,Apartment ,57,Unknown,Just renovated,No,1000.0
118,3,Hyper equipped,3,2,3,243,Not specified,51,Gas,Yes,2329.0,0,No,Apartment ,180,Unknown,As new,Yes,2329.0
119,1,USA hyper equipped,2,1,1,200,D,42,Gas,Yes,1500.0,350,No,Others,145,No,As new,Yes,1850.0
120,0,Hyper equipped,2,2,3,105,C,23,Gas,Yes,1800.0,150,No,Duplex ,151,No,As new,Yes,1950.0
121,2,Hyper equipped,1,1,2,182,Not specified,40,Gas,Yes,925.0,100,No,Apartment ,57,Unknown,As new,Yes,1025.0
122,0,Installed,2,1,1,277,F,38,Gas,Yes,1380.0,0,No,Duplex ,120,No,Just renovated,Unknown,1380.0
123,1,Others,2,1,1,217,E,34,Others,Yes,1000.0,50,No,Apartment ,100,Unknown,As new,Yes,1050.0
124,0,Installed,3,1,2,214,Not specified,49,Gas,Yes,1400.0,0,No,Others,120,No,Good,Unknown,1400.0
125,0,Installed,1,1,1,322,Not specified,72,Gas,Yes,740.0,130,No,Others,35,Yes,As new,No,870.0
127,1,Hyper equipped,2,1,1,255,E,51,Gas,Yes,1290.0,0,No,Duplex ,80,No,As new,No,1290.0
129,2,Installed,2,1,1,247,Not specified,63,Gas,No,1250.0,10,No,Apartment ,95,Unknown,Just renovated,Unknown,1260.0
130,3,USA hyper equipped,2,1,2,161,D,34,Gas,Yes,1700.0,50,No,Others,96,No,As new,Yes,1750.0
131,1,Hyper equipped,2,1,1,220,Not specified,47,Gas,No,1300.0,250,No,Apartment ,130,Unknown,As new,Unknown,1550.0
132,1,Installed,1,1,1,276,E,56,Gas,Yes,740.0,50,No,Duplex ,35,Yes,Good,No,790.0
135,0,Installed,2,1,1,275,E,55,Gas,Yes,1600.0,180,No,Duplex ,167,No,Good,Unknown,1780.0
136,4,Installed,2,1,1,109,C,22,Gas,Yes,1650.0,100,No,Apartment ,89,No,Good,Yes,1750.0
138,3,Hyper equipped,1,1,1,151,C,30,Gas,Yes,950.0,115,No,Apartment ,71,No,As new,Yes,1065.0
139,3,Others,1,1,1,278,F,53,Others,Yes,950.0,40,No,Apartment ,80,No,Just renovated,No,990.0
141,2,USA installed,2,1,1,17,Others,87,Gas,Yes,1070.0,115,No,Apartment ,95,No,As new,Yes,1185.0
143,3,USA hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950.0,170,No,Duplex ,65,Unknown,Just renovated,No,1120.0
144,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,105,No,Apartment ,70,Unknown,As new,No,1205.0
145,3,USA hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825.0,95,No,Others,42,Unknown,Just renovated,Unknown,920.0
146,0,USA hyper equipped,5,2,3,282,F,56,Gas,Yes,2200.0,0,No,Others,173,No,As new,Unknown,2200.0
148,4,Others,2,1,1,357,Others,69,Gas,Yes,1080.0,300,No,Apartment ,100,No,As new,Yes,1380.0
149,6,Hyper equipped,2,1,1,272,Not specified,58,Gas,Yes,850.0,0,No,Apartment ,60,No,Good,Yes,850.0
151,5,Hyper equipped,3,1,1,197,D,39,Gas,Yes,1150.0,250,No,Apartment ,100,Unknown,As new,Unknown,1400.0
152,4,Hyper equipped,1,1,1,45,Others,9,Gas,Yes,820.0,85,No,Others,47,No,As new,Yes,905.0
153,3,Hyper equipped,1,1,1,67,B,39,Gas,Yes,1000.0,100,No,Others,38,Yes,As new,Yes,1100.0
154,4,Installed,1,1,1,170,D,34,Gas,Yes,1550.0,200,No,Apartment ,72,Yes,As new,Yes,1750.0
155,4,USA hyper equipped,1,1,1,206,Not specified,50,Others,No,1050.0,150,No,Apartment ,60,Yes,As new,Yes,1200.0
157,1,USA hyper equipped,2,1,1,178,D,53,Others,Yes,1100.0,230,No,Apartment ,90,No,As new,Yes,1330.0
158,3,USA hyper equipped,1,1,1,217,Not specified,46,Gas,Yes,1200.0,100,No,Apartment ,75,No,As new,Yes,1300.0
159,2,Hyper equipped,2,2,2,169,D,33,Gas,Yes,1850.0,250,No,Apartment ,139,No,As new,Yes,2100.0
160,3,Hyper equipped,2,1,1,233,Not specified,58,Gas,Yes,1100.0,80,No,Apartment ,100,Unknown,Just renovated,Unknown,1180.0
163,2,Hyper equipped,2,1,1,340,F,68,Gas,Yes,900.0,0,No,Apartment ,98,No,Just renovated,No,900.0
164,0,USA hyper equipped,3,2,2,144,C,29,Gas,Yes,1650.0,0,No,Others,135,No,Just renovated,No,1650.0
166,3,Hyper equipped,2,1,1,140,C,39,Gas,Yes,1300.0,180,No,Apartment ,120,No,Just renovated,Yes,1480.0
167,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850.0,75,No,Apartment ,20,No,Just renovated,No,925.0
168,3,Hyper equipped,2,1,1,165,D,30,Gas,Yes,1300.0,200,No,Apartment ,100,No,Just renovated,Yes,1500.0
169,3,Installed,2,2,2,124,C,26,Gas,Yes,1620.0,80,No,Duplex ,95,No,Good,Unknown,1700.0
170,3,Hyper equipped,2,1,1,184,D,20,Gas,Yes,1390.0,0,No,Apartment ,120,No,As new,Yes,1390.0
171,3,Installed,2,1,1,158,D,33,Gas,Yes,1050.0,180,No,Apartment ,66,No,As new,Yes,1230.0
172,0,USA installed,2,1,1,180,D,35,Gas,Yes,1590.0,0,No,Apartment ,82,Yes,As new,Unknown,1590.0
173,0,USA installed,2,1,1,180,D,35,Gas,Yes,1590.0,0,No,Others,82,Yes,As new,Unknown,1590.0
174,3,Installed,1,1,1,127,C,26,Gas,Yes,1050.0,120,No,Apartment ,57,No,As new,Yes,1170.0
175,4,USA installed,2,1,1,168,D,34,Gas,Yes,1350.0,100,No,Apartment ,100,No,As new,Yes,1450.0
176,2,Hyper equipped,2,1,1,130,C,28,Gas,Yes,1290.0,0,No,Apartment ,110,No,As new,Yes,1290.0
177,3,USA hyper equipped,3,1,1,255,Not specified,53,Gas,Yes,1350.0,25,No,Apartment ,95,No,As new,Unknown,1375.0
178,2,Hyper equipped,2,1,1,72,B,19,Gas,Yes,1500.0,160,No,Apartment ,115,No,As new,Unknown,1660.0
179,0,Hyper equipped,1,1,1,246,E,59,Others,Yes,900.0,100,No,Others,75,No,As new,Yes,1000.0
180,1,USA hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750.0,0,No,Duplex ,40,Yes,Just renovated,No,750.0
182,1,Hyper equipped,1,1,1,74,B,53,Gas,Yes,950.0,0,No,Apartment ,56,Yes,As new,Yes,950.0
183,0,USA hyper equipped,1,1,1,123,C,23,Gas,Yes,975.0,110,No,Apartment ,44,Yes,As new,Yes,1085.0
184,2,Others,2,1,1,204,Not specified,44,Gas,Yes,1650.0,55,No,Apartment ,85,No,Just renovated,No,1705.0
185,3,Hyper equipped,3,1,1,227,Not specified,55,Gas,Yes,1950.0,75,No,Others,120,No,Just renovated,No,2025.0
186,3,Installed,2,1,2,94,B,20,Gas,Yes,1300.0,280,No,Apartment ,100,No,As new,Yes,1580.0
188,0,Installed,2,1,1,255,Not specified,53,Gas,Yes,1350.0,80,No,Others,80,No,As new,Yes,1430.0
189,2,Installed,2,1,1,247,Not specified,63,Gas,Yes,1250.0,400,No,Apartment ,125,No,As new,Yes,1650.0
190,3,USA hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,0,No,Apartment ,50,Unknown,Just renovated,No,900.0
191,3,USA hyper equipped,2,1,1,190,D,37,Gas,Yes,1200.0,25,No,Others,95,No,Just renovated,Unknown,1225.0
194,0,Installed,1,1,1,233,Not specified,58,Gas,Yes,1100.0,75,No,Apartment ,70,No,Just renovated,Unknown,1175.0
195,3,Installed,1,1,1,297,Not specified,57,Gas,Yes,760.0,150,No,Apartment ,68,Unknown,Just renovated,Yes,910.0
196,1,USA hyper equipped,1,1,1,156,D,33,Gas,Yes,950.0,150,No,Apartment ,55,Yes,As new,No,1100.0
197,0,Installed,1,1,2,248,E,53,Gas,Yes,950.0,0,No,Duplex ,72,No,As new,Unknown,950.0
198,3,USA hyper equipped,2,1,3,259,E,55,Gas,Yes,1380.0,15,No,Apartment ,105,No,As new,Unknown,1395.0
199,0,Hyper equipped,1,1,1,200,D,50,Gas,Yes,850.0,250,No,Others,50,Yes,As new,No,1100.0
200,1,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850.0,250,No,Apartment ,50,Yes,Good,Yes,1100.0
202,2,USA installed,2,1,1,203,Not specified,39,Gas,No,1000.0,100,No,Apartment ,90,Yes,Good,Yes,1100.0
203,0,Hyper equipped,4,4,4,126,C,25,Gas,Yes,2400.0,0,No,Others,132,No,Good,No,2400.0
204,3,Others,1,1,1,277,Not specified,61,Gas,No,750.0,140,No,Duplex ,50,Unknown,Good,No,890.0
205,0,Hyper equipped,2,1,2,181,Not specified,52,Gas,Yes,1550.0,60,No,Duplex ,124,Unknown,Just renovated,No,1610.0
206,5,Others,2,1,2,245,Not specified,53,Gas,Yes,950.0,0,No,Apartment ,95,No,As new,Yes,950.0
208,0,Hyper equipped,4,1,3,232,E,56,Gas,Yes,2100.0,0,No,Others,160,No,As new,Unknown,2100.0
210,5,Hyper equipped,2,1,1,139,C,35,Gas,Yes,1500.0,250,No,Apartment ,95,Yes,As new,Yes,1750.0
211,1,Hyper equipped,1,1,1,182,Not specified,36,Gas,No,860.0,15,No,Apartment ,80,Unknown,As new,Unknown,875.0
212,1,Hyper equipped,2,1,1,138,C,87,Gas,Yes,950.0,200,No,Apartment ,75,No,Good,Yes,1150.0
213,1,Installed,2,1,1,159,Not specified,42,Gas,Yes,1500.0,140,No,Apartment ,75,Yes,As new,Yes,1640.0
214,6,Installed,2,1,1,222,E,50,Gas,Yes,1050.0,170,No,Apartment ,67,No,Good,Yes,1220.0
217,3,Hyper equipped,1,1,1,185,D,50,Gas,Yes,1050.0,225,No,Apartment ,65,Yes,As new,Unknown,1275.0
218,1,Installed,1,1,1,281,F,60,Gas,Yes,695.0,20,No,Apartment ,60,Unknown,Just renovated,Unknown,715.0
219,2,Installed,1,1,1,451,Others,88,Gas,Yes,700.0,116,No,Apartment ,48,No,Good,Unknown,816.0
220,4,USA installed,1,1,1,281,Not specified,61,Gas,Yes,990.0,110,No,Apartment ,50,Yes,Good,Yes,1100.0
223,3,Hyper equipped,1,1,1,185,D,72,Gas,Yes,825.0,95,No,Apartment ,42,No,As new,Unknown,920.0
224,1,Hyper equipped,1,1,1,180,D,50,Gas,Yes,1100.0,105,No,Apartment ,70,No,As new,Unknown,1205.0
225,4,Hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825.0,96,No,Apartment ,63,No,As new,Unknown,921.0
226,1,Hyper equipped,1,1,1,180,D,50,Gas,Yes,1250.0,105,No,Apartment ,70,Yes,As new,Unknown,1355.0
227,0,Hyper equipped,1,1,1,185,D,58,Gas,Yes,1100.0,215,No,Apartment ,75,No,As new,Unknown,1315.0
228,2,Hyper equipped,3,1,1,161,D,32,Gas,Yes,1800.0,0,No,Others,120,Unknown,Just renovated,Unknown,1800.0
229,6,Hyper equipped,1,1,2,199,Not specified,38,Gas,No,1380.0,175,No,Apartment ,100,Yes,As new,Yes,1555.0
230,3,Installed,1,1,1,357,Not specified,85,Gas,Yes,700.0,150,No,Apartment ,55,Unknown,As new,Yes,850.0
231,1,Installed,3,2,2,95,B,24,Gas,Yes,2150.0,0,No,Apartment ,137,Unknown,Just renovated,Yes,2150.0
233,0,Hyper equipped,2,2,1,251,E,50,Gas,Yes,1950.0,0,No,Others,130,Unknown,Just renovated,Unknown,1950.0
234,1,Others,2,1,1,404,Others,49,Gas,Yes,1150.0,0,No,Duplex ,102,No,Just renovated,No,1150.0
235,2,Installed,3,1,1,263,Not specified,50,Gas,Yes,900.0,0,No,Apartment ,90,No,As new,Unknown,900.0
236,4,USA hyper equipped,2,2,1,119,C,23,Gas,Yes,1600.0,100,No,Apartment ,96,No,As new,Yes,1700.0
238,4,USA hyper equipped,2,1,1,95,B,18,Gas,Yes,1200.0,145,No,Others,72,No,As new,Yes,1345.0
239,0,Hyper equipped,3,3,3,280,F,63,Gas,Yes,2650.0,120,No,Others,130,Yes,As new,No,2770.0
240,2,Hyper equipped,1,1,1,209,D,57,Gas,Yes,1200.0,180,No,Apartment ,98,No,As new,Yes,1380.0
241,2,USA hyper equipped,1,1,1,79,B,12,Gas,Yes,1050.0,100,No,Apartment ,64,No,Good,Yes,1150.0
244,4,USA hyper equipped,1,1,1,222,E,44,Gas,Yes,1150.0,350,No,Apartment ,51,Yes,As new,Yes,1500.0
246,4,Hyper equipped,1,1,1,183,D,36,Gas,Yes,1050.0,180,No,Others,43,Yes,Just renovated,Yes,1230.0
247,5,Hyper equipped,1,1,1,106,C,22,Gas,Yes,680.0,175,No,Others,38,No,As new,Unknown,855.0
248,1,USA hyper equipped,2,2,2,67,B,60,Gas,Yes,2250.0,200,No,Apartment ,140,No,As new,Yes,2450.0
249,1,Hyper equipped,2,1,2,208,D,44,Gas,Yes,1300.0,180,No,Apartment ,100,No,Good,Yes,1480.0
255,3,USA hyper equipped,2,1,2,379,Others,81,Gas,Yes,1900.0,200,No,Others,160,Yes,As new,Unknown,2100.0
258,1,Hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050.0,250,No,Apartment ,65,No,Just renovated,Unknown,1300.0
259,3,USA installed,2,1,2,444,Others,89,Gas,Yes,1750.0,0,No,Duplex ,100,No,Just renovated,Unknown,1750.0
260,1,USA hyper equipped,1,1,1,125,C,58,Gas,Yes,1100.0,80,No,Apartment ,90,Yes,As new,No,1180.0
261,0,Hyper equipped,1,1,1,296,Not specified,62,Gas,No,780.0,120,No,Others,52,Yes,As new,Unknown,900.0
262,2,Installed,3,2,2,131,C,28,Gas,Yes,1700.0,150,No,Apartment ,130,No,As new,Yes,1850.0
263,0,Hyper equipped,1,1,1,203,Not specified,39,Gas,No,1000.0,300,No,Apartment ,112,No,As new,Yes,1300.0
264,4,Installed,2,1,1,381,Others,60,Others,Yes,1000.0,180,No,Apartment ,70,No,As new,Yes,1180.0
265,3,Installed,1,1,1,183,D,36,Gas,Yes,825.0,95,No,Others,42,No,As new,Unknown,920.0
266,0,Installed,1,1,1,274,E,54,Gas,Yes,1100.0,215,No,Others,75,No,As new,Unknown,1315.0
267,3,Installed,1,1,1,256,E,51,Gas,Yes,950.0,225,No,Duplex ,70,No,As new,Unknown,1175.0
268,1,Installed,1,1,1,184,D,36,Gas,Yes,1100.0,105,No,Apartment ,70,No,As new,Unknown,1205.0
269,3,USA hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200.0,0,No,Apartment ,95,Unknown,As new,No,1200.0
270,0,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,150,No,Apartment ,60,No,As new,Yes,1050.0
271,0,Hyper equipped,2,2,2,197,Not specified,40,Gas,Yes,1195.0,95,No,Apartment ,70,No,Good,Yes,1290.0
272,3,Hyper equipped,2,1,1,233,Not specified,58,Gas,No,1100.0,45,No,Apartment ,90,Unknown,As new,Yes,1145.0
273,1,Hyper equipped,1,1,1,310,F,64,Gas,Yes,1200.0,75,No,Apartment ,70,No,As new,No,1275.0
274,1,USA hyper equipped,1,1,2,266,E,74,Others,Yes,1100.0,250,No,Apartment ,77,No,Just renovated,Unknown,1350.0
276,1,Installed,2,1,1,220,Not specified,47,Gas,Yes,1300.0,150,No,Apartment ,100,Unknown,Just renovated,Yes,1450.0
277,2,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200.0,50,No,Apartment ,80,Unknown,As new,No,1250.0
279,6,Installed,1,1,1,366,Others,73,Gas,Yes,990.0,185,No,Others,70,No,Good,Yes,1175.0
280,6,Installed,1,1,1,366,Others,73,Gas,Yes,990.0,185,No,Others,70,No,Good,Yes,1175.0
